plate,row,column,roi,,,,,
10,C,6,28,30,,,,
10,D,1,,,,,,
10,D,2,,,,,,
10,D,3,32,33,35,,,
10,D,4,,,,,,
10,D,5,34,36,37,38,,
10,D,6,,,,,,
11,A,1,2,,,,,
11,A,2,,,,,,
11,A,3,1,,,,,
11,A,4,4,,,,,
11,A,5,3,,,,,
11,A,6,,,,,,
11,B,1,6,9,,,,
11,B,2,5,,,,,
11,B,3,8,10,14,,,
11,B,4,11,7,12,,,
11,B,5,13,,,,,
11,B,6,,,,,,
11,C,1,15,,,,,
11,C,2,16,21,,,,
11,C,3,17,18,,,,
11,C,4,19,,,,,
11,C,5,20,,,,,
11,C,6,22,,,,,
11,D,1,23,,,,,
11,D,2,26,,,,,
11,D,3,25,,,,,
11,D,4,27,,,,,
11,D,5,29,,,,,
11,D,6,24,28,,,,
12,A,1,3,7,,,,
12,A,2,2,4,6,,,
12,A,3,1,,,,,
12,A,4,,,,,,
12,A,5,5,8,9,,,
12,A,6,,,,,,
12,B,1,,,,,,
12,B,2,12,18,,,,
12,B,3,10,16,,,,
12,B,4,11,13,,,,
12,B,5,14,,,,,
12,B,6,15,17,,,,
12,C,1,23,26,,,,
12,C,2,21,,,,,
12,C,3,19,20,,,,
12,C,4,,,,,,
12,C,5,25,,,,,
12,C,6,22,24,,,,
12,D,1,27,31,,,,
12,D,2,28,30,,,,
12,D,3,32,33,,,,
12,D,4,,,,,,
12,D,5,,,,,,
12,D,6,29,,,,,
13,A,1,,,,,,
13,A,2,2,3,,,,
13,A,3,1,4,5,,,
13,A,4,,,,,,
13,A,5,,,,,,
13,A,6,,,,,,
13,B,1,9,16,18,,,
13,B,2,10,11,,,,
13,B,3,6,8,,,,
13,B,4,15,17,,,,
13,B,5,7,12,,,,
13,B,6,13,14,,,,
13,C,1,20,23,26,,,
13,C,2,21,22,24,,,
13,C,3,29,,,,,
13,C,4,25,27,,,,
13,C,5,19,,,,,
13,C,6,,,,,,
13,D,1,,,,,,
13,D,2,,,,,,
13,D,3,33,35,,,,
13,D,4,30,31,34,37,,
13,D,5,36,38,,,,
13,D,6,,,,,,
14,A,1,5,6,7,,,
14,A,2,,,,,,
14,A,3,1,4,,,,
14,A,4,3,,,,,
14,A,5,2,,,,,
14,A,6,,,,,,
14,B,1,,,,,,
14,B,2,9,12,15,,,
14,B,3,8,11,14,,,
14,B,4,13,,,,,
14,B,5,10,,,,,
14,B,6,16,,,,,
14,C,1,20,,,,,
14,C,2,17,21,,,,
14,C,3,18,19,,,,
14,C,4,22,,,,,
14,C,5,,,,,,
14,C,6,23,,,,,
14,D,1,,,,,,
14,D,2,27,,,,,
14,D,3,30,,,,,
14,D,4,,,,,,
14,D,5,26,29,31,32,,
14,D,6,,,,,,
15,A,1,4,,,,,
15,A,2,1,6,8,,,
15,A,3,2,5,,,,
15,A,4,3,7,,,,
15,A,5,,,,,,
15,A,6,,,,,,
15,B,1,,,,,,
15,B,2,10,,,,,
15,B,3,9,,,,,
15,B,4,11,,,,,
15,B,5,13,,,,,
15,B,6,12,,,,,
15,C,1,16,17,21,22,,
15,C,2,15,19,20,24,,
15,C,3,25,,,,,
15,C,4,26,,,,,
15,C,5,23,,,,,
15,C,6,14,18,,,,
15,D,1,28,,,,,
15,D,2,31,,,,,
15,D,3,27,29,,,,
15,D,4,,,,,,
15,D,5,32,33,,,,
15,D,6,30,,,,,
16,A,1,9,,,,,
16,A,2,2,6,7,,,
16,A,3,4,,,,,
16,A,4,1,,,,,
16,A,5,3,,,,,
16,A,6,5,8,,,,
16,B,1,13,,,,,
16,B,2,10,14,,,,
16,B,3,12,,,,,
16,B,4,11,15,16,,,
16,B,5,,,,,,
16,B,6,,,,,,
16,C,1,17,,,,,
16,C,2,18,19,,,,
16,C,3,21,,,,,
16,C,4,20,,,,,
16,C,5,,,,,,
16,C,6,,,,,,
16,D,1,29,,,,,
16,D,2,,,,,,
16,D,3,22,23,31,,,
16,D,4,,,,,,
16,D,5,24,25,,,,
16,D,6,26,28,30,32,,
17,A,1,,,,,,
17,A,2,4,,,,,
17,A,3,1,2,,,,
17,A,4,5,,,,,
17,A,5,,,,,,
17,A,6,3,6,7,,,
17,B,1,9,,,,,
17,B,2,8,10,,,,
17,B,3,11,,,,,
17,B,4,,,,,,
17,B,5,12,13,,,,
17,B,6,,,,,,
17,C,1,14,15,17,,,
17,C,2,19,21,,,,
17,C,3,,,,,,
17,C,4,22,,,,,
17,C,5,16,23,,,,
17,C,6,18,20,24,,,
17,D,1,,,,,,
17,D,2,,,,,,
17,D,3,28,,,,,
17,D,4,,,,,,
17,D,5,25,26,29,,,
17,D,6,27,30,,,,
18,A,1,,,,,,
18,A,2,,,,,,
18,A,3,4,6,,,,
18,A,4,2,3,,,,
18,A,5,1,,,,,
18,A,6,5,,,,,
18,B,1,9,,,,,
18,B,2,10,,,,,
18,B,3,8,12,,,,
18,B,4,,,,,,
18,B,5,7,14,,,,
18,B,6,11,13,15,,,
18,C,1,16,18,,,,
18,C,2,17,,,,,
18,C,3,19,,,,,
18,C,4,,,,,,
18,C,5,20,21,,,,
18,C,6,,,,,,
18,D,1,24,,,,,
18,D,2,,,,,,
18,D,3,22,31,,,,
18,D,4,23,26,30,33,,
18,D,5,25,28,29,,,
18,D,6,27,32,,,,
19,A,1,2,4,9,,,
19,A,2,8,,,,,
19,A,3,5,,,,,
19,A,4,1,6,,,,
19,A,5,3,,,,,
19,A,6,7,10,11,12,,
19,B,1,17,18,,,,
19,B,2,16,,,,,
19,B,3,13,21,,,,
19,B,4,,,,,,
19,B,5,14,15,20,22,,
19,B,6,19,23,,,,
19,C,1,24,30,,,,
19,C,2,26,,,,,
19,C,3,28,,,,,
19,C,4,25,27,,,,
19,C,5,31,,,,,
19,C,6,29,,,,,
19,D,1,,,,,,
19,D,2,32,33,,,,
19,D,3,,,,,,
19,D,4,34,,,,,
19,D,5,,,,,,
19,D,6,35,,,,,
20,A,1,,,,,,
20,A,2,2,,,,,
20,A,3,1,,,,,
20,A,4,,,,,,
20,A,5,,,,,,
20,A,6,3,,,,,
20,B,1,6,,,,,
20,B,2,4,,,,,
20,B,3,,,,,,
20,B,4,5,8,,,,
20,B,5,9,,,,,
20,B,6,7,,,,,
20,C,1,,,,,,
20,C,2,11,15,,,,
20,C,3,10,14,,,,
20,C,4,,,,,,
20,C,5,16,,,,,
20,C,6,12,13,,,,
20,D,1,,,,,,
20,D,2,,,,,,
20,D,3,17,20,,,,
20,D,4,19,21,,,,
20,D,5,18,22,,,,
20,D,6,,,,,,
21,A,1,1,3,,,,
21,A,2,2,,,,,
21,A,3,,,,,,
21,A,4,,,,,,
21,A,5,4,,,,,
21,A,6,,,,,,
21,B,1,,,,,,
21,B,2,5,,,,,
21,B,3,9,,,,,
21,B,4,6,7,,,,
21,B,5,8,,,,,
21,B,6,10,,,,,
21,C,1,11,14,,,,
21,C,2,18,,,,,
21,C,3,19,,,,,
21,C,4,12,13,17,,,
21,C,5,15,21,22,,,
21,C,6,16,20,,,,
21,D,1,23,24,,,,
21,D,2,35,,,,,
21,D,3,26,27,,,,
21,D,4,28,30,,,,
21,D,5,25,29,31,33,36,
21,D,6,32,34,,,,
22,A,1,3,,,,,
22,A,2,,,,,,
22,A,3,2,5,,,,
22,A,4,,,,,,
22,A,5,1,4,6,,,
22,A,6,,,,,,
22,B,1,11,14,,,,
22,B,2,12,15,16,,,
22,B,3,18,,,,,
22,B,4,20,,,,,
22,B,5,19,,,,,
22,B,6,8,10,13,17,,
22,C,1,,,,,,
22,C,2,21,31,33,,,
22,C,3,25,,,,,
22,C,4,22,23,29,,,
22,C,5,28,,,,,
22,C,6,24,26,27,30,32,
22,D,1,,,,,,
22,D,2,34,35,,,,
22,D,3,37,,,,,
22,D,4,36,38,,,,
22,D,5,,,,,,
22,D,6,39,40,,,,
23,A,1,1,23,,,,
23,A,2,,,,,,
23,A,3,4,7,,,,
23,A,4,5,6,9,,,
23,A,5,,,,,,
23,A,6,8,,,,,
23,B,1,11,17,18,,,
23,B,2,10,19,23,,,
23,B,3,12,16,,,,
23,B,4,22,,,,,
23,B,5,13,14,20,,,
23,B,6,15,21,,,,
23,C,1,26,,,,,
23,C,2,27,28,,,,
23,C,3,,,,,,
23,C,4,24,25,29,,,
23,C,5,31,,,,,
23,C,6,30,,,,,
23,D,1,,,,,,
23,D,2,33,36,40,,,
23,D,3,34,39,,,,
23,D,4,32,,,,,
23,D,5,37,38,,,,
23,D,6,35,,,,,
24,A,1,1,2,,,,
24,A,2,,,,,,
24,A,3,,,,,,
24,A,4,5,,,,,
24,A,5,4,6,,,,
24,A,6,3,7,,,,
24,B,1,,,,,,
24,B,2,9,,,,,
24,B,3,8,10,,,,
24,B,4,11,12,13,,,
24,B,5,,,,,,
24,B,6,14,,,,,
24,C,1,17,18,,,,
24,C,2,15,16,,,,
24,C,3,,,,,,
24,C,4,,,,,,
24,C,5,19,22,23,,,
24,C,6,20,21,24,,,
24,D,1,,,,,,
24,D,2,,,,,,
24,D,3,25,26,27,29,,
24,D,4,,,,,,
24,D,5,28,,,,,
24,D,6,,,,,,
