bzt,nacl,plnt.micr,inoc,plate,row,column,SetupErrorPossible
0,10,KSR,y,7,A,1,
1,0,KSR,y,7,A,2,
0.1,0,KSR,n,7,A,3,
1,10,KSR,n,7,A,4,
1,0,MoccTr,n,7,A,5,
1,0,KSR,y,7,A,6,
10,0.8,MoccTr,n,7,B,1,
1,0.8,BruceH,y,7,B,2,
0,0.8,BruceH,n,7,B,3,
1,0.8,KSR,y,7,B,4,
0,0.8,MoccTr,n,7,B,5,
1,0,BruceH,n,7,B,6,
10,0.8,MoccTr,y,7,C,1,
1,10,KSR,n,7,C,2,
1,0.8,KSR,n,7,C,3,
0,10,KSR,n,7,C,4,
0,0,BruceH,n,7,C,5,
0.1,10,KSR,y,7,C,6,
0,10,KSR,n,7,D,1,
1,0.8,KSR,n,7,D,2,
1,10,BruceH,y,7,D,3,
0,10,BruceH,y,7,D,4,
0.1,0,BruceH,y,7,D,5,
0.1,0,BruceH,y,7,D,6,
0.1,0,KSR,n,8,A,1,
0,0.8,MoccTr,n,8,A,2,
10,0,MoccTr,n,8,A,3,
10,0,BruceH,n,8,A,4,
10,10,BruceH,n,8,A,5,
0,0,BruceH,y,8,A,6,
0,0,KSR,y,8,B,1,
10,0.8,BruceH,n,8,B,2,
10,0.8,KSR,n,8,B,3,
1,10,BruceH,y,8,B,4,
10,10,KSR,n,8,B,5,
0,0.8,KSR,y,8,B,6,
10,0,BruceH,n,8,C,1,
0.1,10,KSR,n,8,C,2,
0,0,KSR,y,8,C,3,
0,0.8,MoccTr,n,8,C,4,
10,0,KSR,n,8,C,5,
0,0.8,KSR,n,8,C,6,
1,10,MoccTr,n,8,D,1,
1,0.8,MoccTr,n,8,D,2,
0.1,0,BruceH,y,8,D,3,
0,0.8,MoccTr,n,8,D,4,
0,10,KSR,n,8,D,5,
1,0,MoccTr,y,8,D,6,
0,0.8,KSR,y,9,A,1,
0.1,0,MoccTr,y,9,A,2,
0,0,MoccTr,n,9,A,3,
10,0,BruceH,y,9,A,4,
0,0,MoccTr,n,9,A,5,
10,10,BruceH,n,9,A,6,
1,0,MoccTr,y,9,B,1,
0.1,10,KSR,y,9,B,2,
10,0,KSR,y,9,B,3,
10,0,BruceH,n,9,B,4,
1,0.8,BruceH,y,9,B,5,
10,10,BruceH,y,9,B,6,
10,0,MoccTr,n,9,C,1,
0,0,KSR,y,9,C,2,
0,10,MoccTr,y,9,C,3,
0,10,KSR,y,9,C,4,
1,0.8,KSR,y,9,C,5,
1,10,KSR,y,9,C,6,
1,0,BruceH,y,9,D,1,
0,0.8,KSR,n,9,D,2,
10,10,MoccTr,y,9,D,3,
1,0.8,KSR,y,9,D,4,
10,0.8,MoccTr,y,9,D,5,
0,0,KSR,n,9,D,6,
10,10,KSR,n,10,A,1,
0,10,MoccTr,n,10,A,2,
1,0.8,BruceH,y,10,A,3,
0,0,BruceH,y,10,A,4,
0,0,MoccTr,y,10,A,5,
0,10,KSR,n,10,A,6,
0,0.8,KSR,y,10,B,1,
0,10,BruceH,n,10,B,2,
10,0.8,KSR,n,10,B,3,
10,0,MoccTr,n,10,B,4,
1,0,KSR,n,10,B,5,
0.1,10,KSR,n,10,B,6,
10,0,MoccTr,y,10,C,1,
0.1,0,MoccTr,n,10,C,2,
0.1,0,MoccTr,y,10,C,3,
0,0,BruceH,y,10,C,4,
0,0,MoccTr,n,10,C,5,
1,0.8,KSR,n,10,C,6,
0,10,KSR,y,10,D,1,
1,10,MoccTr,y,10,D,2,
1,0,KSR,y,10,D,3,
1,10,KSR,y,10,D,4,
1,0,MoccTr,y,10,D,5,
1,10,KSR,y,10,D,6,
0,0,MoccTr,y,11,A,1,
10,10,KSR,y,11,A,2,
1,10,MoccTr,n,11,A,3,
10,10,MoccTr,y,11,A,4,
10,0,MoccTr,n,11,A,5,
1,10,KSR,n,11,A,6,
1,0,KSR,y,11,B,1,
10,0,MoccTr,y,11,B,2,
0.1,0,BruceH,n,11,B,3,
1,0.8,MoccTr,n,11,B,4,
1,10,KSR,n,11,B,5,
0.1,0,MoccTr,y,11,B,6,
0.1,10,BruceH,y,11,C,1,
10,0.8,BruceH,y,11,C,2,
0.1,10,MoccTr,y,11,C,3,
0.1,0.8,KSR,n,11,C,4,
1,10,MoccTr,y,11,C,5,
10,10,KSR,y,11,C,6,
0,0,KSR,n,11,D,1,
1,10,BruceH,n,11,D,2,
1,10,BruceH,y,11,D,3,
10,10,BruceH,n,11,D,4,
0,0,KSR,y,11,D,5,
10,0,MoccTr,y,11,D,6,
1,0.8,BruceH,y,12,A,1,
0,0.8,BruceH,y,12,A,2,
0.1,0,MoccTr,n,12,A,3,
0.1,10,MoccTr,n,12,A,4,
1,0.8,BruceH,n,12,A,5,
0.1,10,BruceH,y,12,A,6,
0,0,MoccTr,y,12,B,1,
0,0.8,BruceH,n,12,B,2,
1,0,BruceH,n,12,B,3,
0.1,0,BruceH,y,12,B,4,
1,0.8,MoccTr,n,12,B,5,
10,0,BruceH,n,12,B,6,
0.1,0,BruceH,n,12,C,1,
0.1,0.8,MoccTr,n,12,C,2,
1,0.8,KSR,y,12,C,3,
0.1,0,KSR,y,12,C,4,
0.1,0,KSR,n,12,C,5,
0.1,0.8,KSR,n,12,C,6,
1,0,MoccTr,y,12,D,1,
0.1,0.8,KSR,n,12,D,2,
0.1,0.8,KSR,n,12,D,3,
10,10,BruceH,y,12,D,4,
0,10,KSR,n,12,D,5,
10,0.8,MoccTr,y,12,D,6,
0.1,10,MoccTr,y,13,A,1,
10,0,BruceH,y,13,A,2,
0.1,0.8,MoccTr,y,13,A,3,
0.1,0.8,KSR,y,13,A,4,
