roi,image,plate,area,meangray,perim,circ,areafraction,AR,round,solidity,red,green,blue
1,DSC_1066_plate1.JPG,1,4595,75.345,359.647,0.446,0,1.422,0.703,0.872,254.793,0.184,0.142
2,DSC_1066_plate1.JPG,1,175,82.76,53.941,0.756,0,1.173,0.853,0.877,245.417,3.897,3.063
3,DSC_1066_plate1.JPG,1,941,68.393,188.208,0.334,0,1.086,0.92,0.713,254.717,0.254,0.186
4,DSC_1066_plate1.JPG,1,712,78.351,189.037,0.25,0,1.451,0.689,0.712,251.271,1.445,1.236
5,DSC_1066_plate1.JPG,1,2940,62.21,243.179,0.625,0,1.786,0.56,0.894,255,0,0
6,DSC_1066_plate1.JPG,1,556,90.288,111.782,0.559,0,1.424,0.702,0.839,255,0,0
7,DSC_1066_plate1.JPG,1,1094,76.89,170.652,0.472,0,1.417,0.706,0.779,253.551,1.132,0.919
8,DSC_1066_plate1.JPG,1,113,87.274,82.184,0.21,0,4.341,0.23,0.592,255,0,0
9,DSC_1066_plate1.JPG,1,172,97.192,57.355,0.657,0,1.466,0.682,0.808,255,0,0
10,DSC_1066_plate1.JPG,1,2133,77.715,267.463,0.375,0,1.649,0.606,0.805,253.778,1.158,0.684
11,DSC_1066_plate1.JPG,1,2451,74.491,303.061,0.335,0,1.678,0.596,0.768,254.472,0.482,0.379
12,DSC_1066_plate1.JPG,1,2517,69.151,276.291,0.414,0,1.811,0.552,0.809,253.28,1.608,0.995
13,DSC_1066_plate1.JPG,1,2154,76.011,208.936,0.62,0,1.483,0.675,0.913,254.687,0.284,0.159
14,DSC_1066_plate1.JPG,1,782,95.22,154.309,0.413,0,1.156,0.865,0.801,251.641,2.125,1.776
15,DSC_1066_plate1.JPG,1,1238,81.405,174.894,0.509,0,1.993,0.502,0.85,254.044,0.866,0.685
16,DSC_1066_plate1.JPG,1,1035,73.645,161.924,0.496,0,1.657,0.604,0.83,255,0,0
17,DSC_1066_plate1.JPG,1,790,88.397,167.723,0.353,0,1.937,0.516,0.752,255,0,0
18,DSC_1066_plate1.JPG,1,1605,97.622,216.492,0.43,0,1.912,0.523,0.824,253.584,1.23,0.86
19,DSC_1066_plate1.JPG,1,155,104.826,81.497,0.293,0,1.639,0.61,0.602,250.09,3.697,3.135
20,DSC_1066_plate1.JPG,1,1455,90.284,178.652,0.573,0,1.551,0.645,0.864,255,0,0
21,DSC_1066_plate1.JPG,1,114,104.605,66.326,0.326,0,1.601,0.625,0.62,255,0,0
22,DSC_1066_plate1.JPG,1,1431,95.602,195.966,0.468,0,1.207,0.829,0.865,254.315,0.596,0.444
23,DSC_1066_plate1.JPG,1,2905,73.129,228.936,0.697,0,1.748,0.572,0.936,255,0,0
24,DSC_1066_plate1.JPG,1,2833,72.246,259.806,0.527,0,1.519,0.658,0.845,255,0,0
25,DSC_1066_plate1.JPG,1,1803,81.813,173.924,0.749,0,1.554,0.643,0.953,255,0,0
26,DSC_1066_plate1.JPG,1,623,96.254,116.468,0.577,0,1.575,0.635,0.814,255,0,0
27,DSC_1066_plate1.JPG,1,2621,76.838,313.12,0.336,0,1.854,0.539,0.793,254.837,0.14,0.081
28,DSC_1066_plate1.JPG,1,164,103.524,68.326,0.441,0,1.175,0.851,0.735,254.183,0.701,0.604
29,DSC_1066_plate1.JPG,1,1589,67.853,183.48,0.593,0,1.602,0.624,0.887,254.833,0.149,0.086
30,DSC_1066_plate1.JPG,1,369,97.911,107.882,0.398,0,1.409,0.71,0.731,255,0,0
31,DSC_1066_plate1.JPG,1,1618,75.197,215.037,0.44,0,1.504,0.665,0.735,255,0,0
32,DSC_1066_plate1.JPG,1,145,83.51,161.622,0.07,0,17.671,0.057,0.398,255,0,0
33,DSC_1066_plate1.JPG,1,1281,83.531,149.924,0.716,0,1.189,0.841,0.911,255,0,0
34,DSC_1066_plate1.JPG,1,799,92.887,127.196,0.621,0,1.67,0.599,0.852,254.829,0.151,0.118
35,DSC_1066_plate1.JPG,1,152,77.388,170.87,0.065,0,34.896,0.029,0.629,255,0,0
36,DSC_1066_plate1.JPG,1,137,81.876,122.042,0.116,0,20.57,0.049,0.797,255,0,0
1,DSC_1065_plate2.JPG,2,623,84.819,158.652,0.311,0,1.242,0.805,0.637,253.591,0.637,0.541
2,DSC_1065_plate2.JPG,2,1229,75.942,172.894,0.517,0,1.516,0.66,0.858,255,0,0
3,DSC_1065_plate2.JPG,2,3204,67.195,285.706,0.493,0,1.391,0.719,0.895,254.958,0.038,0.019
4,DSC_1065_plate2.JPG,2,3160,67.511,284.978,0.489,0,1.546,0.647,0.883,254.737,0.233,0.09
5,DSC_1065_plate2.JPG,2,2184,82.553,208.593,0.631,0,1.653,0.605,0.91,254.799,0.152,0.13
6,DSC_1065_plate2.JPG,2,2321,78.135,235.664,0.525,0,1.298,0.771,0.829,254.682,0.232,0.195
7,DSC_1065_plate2.JPG,2,1024,92.429,159.238,0.507,0,1.726,0.579,0.833,254.72,0.236,0.184
8,DSC_1065_plate2.JPG,2,773,85.318,130.225,0.573,0,1.898,0.527,0.798,254.608,0.27,0.229
9,DSC_1065_plate2.JPG,2,2584,80.86,237.421,0.576,0,1.821,0.549,0.895,255,0,0
10,DSC_1065_plate2.JPG,2,341,91.267,101.054,0.42,0,1.559,0.641,0.75,252.428,1.349,1.147
11,DSC_1065_plate2.JPG,2,1508,72.952,176.309,0.61,0,1.788,0.559,0.892,254.822,0.154,0.113
12,DSC_1065_plate2.JPG,2,521,82.885,89.74,0.813,0,1.39,0.72,0.93,255,0,0
13,DSC_1065_plate2.JPG,2,478,85.682,101.882,0.579,0,1.472,0.679,0.849,254.395,0.446,0.395
14,DSC_1065_plate2.JPG,2,631,75.076,109.154,0.666,0,1.188,0.842,0.889,255,0,0
15,DSC_1065_plate2.JPG,2,1180,93.463,181.865,0.448,0,1.893,0.528,0.811,254.269,0.637,0.446
16,DSC_1065_plate2.JPG,2,2532,85.811,347.789,0.263,0,2.092,0.478,0.798,254.547,0.276,0.225
17,DSC_1065_plate2.JPG,2,2084,80.459,236.007,0.47,0,1.608,0.622,0.809,254.933,0.058,0.029
18,DSC_1065_plate2.JPG,2,2899,82.594,302.818,0.397,0,1.957,0.511,0.793,254.223,0.754,0.537
19,DSC_1065_plate2.JPG,2,2939,87.132,329.446,0.34,0,2.333,0.429,0.841,250.228,4.258,2.442
20,DSC_1065_plate2.JPG,2,733,71.869,129.681,0.548,0,1.229,0.814,0.831,254.817,0.158,0.128
21,DSC_1065_plate2.JPG,2,112,105.518,58.426,0.412,0,3.28,0.305,0.673,255,0,0
22,DSC_1065_plate2.JPG,2,133,102.368,66.669,0.376,0,1.477,0.677,0.591,252.985,1.774,1.504
23,DSC_1065_plate2.JPG,2,2872,89.862,463.085,0.168,0,3.096,0.323,0.622,254.169,0.753,0.545
24,DSC_1065_plate2.JPG,2,658,90.005,169.723,0.287,0,1.166,0.858,0.775,245.123,9.044,3.498
25,DSC_1065_plate2.JPG,2,121,104.909,86.569,0.203,0,1.923,0.52,0.533,255,0,0
26,DSC_1065_plate2.JPG,2,4821,73.33,354.333,0.483,0,1.349,0.741,0.878,254.655,0.303,0.179
27,DSC_1065_plate2.JPG,2,2820,81.223,251.179,0.562,0,2.025,0.494,0.879,254.759,0.22,0.143
28,DSC_1065_plate2.JPG,2,3382,67.035,324.818,0.403,0,1.315,0.76,0.735,254.96,0.035,0.008
29,DSC_1065_plate2.JPG,2,319,78.317,73.497,0.742,0,1.743,0.574,0.887,255,0,0
30,DSC_1065_plate2.JPG,2,806,82.579,122.953,0.67,0,1.801,0.555,0.896,255,0,0
31,DSC_1065_plate2.JPG,2,307,89.156,76.083,0.666,0,1.297,0.771,0.814,255,0,0
32,DSC_1065_plate2.JPG,2,108,105.528,75.497,0.238,0,3.575,0.28,0.637,255,0,0
33,DSC_1065_plate2.JPG,2,130,88.646,93.841,0.186,0,2.448,0.409,0.57,247.008,4.238,4.654
34,DSC_1065_plate2.JPG,2,209,62.627,163.983,0.098,0,18.211,0.055,0.517,255,0,0
35,DSC_1065_plate2.JPG,2,217,61.014,180.125,0.084,0,21.989,0.045,0.644,254.272,0.429,0.378
36,DSC_1065_plate2.JPG,2,103,68.417,107.698,0.112,0,18.22,0.055,0.606,255,0,0
37,DSC_1065_plate2.JPG,2,215,88.581,284.326,0.033,0,60.212,0.017,0.505,255,0,0
38,DSC_1065_plate2.JPG,2,337,75.326,374.125,0.03,0,72.728,0.014,0.538,255,0,0
1,DSC_1064_plate3.JPG,3,8011,64.763,1088.389,0.085,0,4.264,0.235,0.237,254.987,0.018,0.012
2,DSC_1064_plate3.JPG,3,4085,62.089,275.907,0.674,0,1.877,0.533,0.912,255,0,0
3,DSC_1064_plate3.JPG,3,994,77.375,153.238,0.532,0,1.136,0.881,0.87,254.645,0.184,0.134
4,DSC_1064_plate3.JPG,3,2317,61.511,203.137,0.706,0,1.809,0.553,0.909,255,0,0
5,DSC_1064_plate3.JPG,3,1968,69.923,201.279,0.61,0,1.414,0.707,0.895,253.59,0.721,0.535
6,DSC_1064_plate3.JPG,3,768,62.742,109.64,0.803,0,1.438,0.695,0.924,255,0,0
7,DSC_1064_plate3.JPG,3,760,65.538,125.782,0.604,0,1.919,0.521,0.851,255,0,0
8,DSC_1064_plate3.JPG,3,268,115.522,182.35,0.101,0,21.367,0.047,0.618,255,0,0
9,DSC_1064_plate3.JPG,3,4141,72.192,384.96,0.351,0,1.907,0.524,0.708,255,0,0
10,DSC_1064_plate3.JPG,3,3029,69.602,280.534,0.484,0,1.68,0.595,0.857,254.814,0.08,0.058
11,DSC_1064_plate3.JPG,3,2411,70.17,206.995,0.707,0,1.456,0.687,0.897,255,0,0
12,DSC_1064_plate3.JPG,3,2633,66.629,220.208,0.682,0,1.862,0.537,0.926,255,0,0
13,DSC_1064_plate3.JPG,3,2861,68.579,229.723,0.681,0,1.709,0.585,0.901,255,0,0
14,DSC_1064_plate3.JPG,3,2452,66.537,195.137,0.809,0,1.147,0.872,0.951,255,0,0
15,DSC_1064_plate3.JPG,3,6068,64.028,374.475,0.544,0,1.595,0.627,0.856,255,0,0
16,DSC_1064_plate3.JPG,3,569,104.288,383.238,0.049,0,9.954,0.1,0.25,255,0,0
17,DSC_1064_plate3.JPG,3,4650,70.325,407.688,0.352,0,1.195,0.837,0.81,254.81,0.095,0.068
18,DSC_1064_plate3.JPG,3,1263,101.147,147.782,0.727,0,1.503,0.665,0.907,254.835,0.232,0.148
19,DSC_1064_plate3.JPG,3,207,87.444,58.77,0.753,0,1.791,0.558,0.885,255,0,0
20,DSC_1064_plate3.JPG,3,544,111.983,136.51,0.367,0,1.865,0.536,0.75,249.925,7.355,3.333
21,DSC_1064_plate3.JPG,3,2888,73.513,222.894,0.73,0,1.677,0.596,0.948,255,0,0
22,DSC_1064_plate3.JPG,3,1776,64.285,199.38,0.561,0,1.678,0.596,0.834,255,0,0
23,DSC_1064_plate3.JPG,3,1313,79.16,161.581,0.632,0,1.453,0.688,0.849,254.467,0.253,0.184
24,DSC_1064_plate3.JPG,3,203,86.695,55.598,0.825,0,1.058,0.945,0.877,255,0,0
25,DSC_1064_plate3.JPG,3,21059,97.387,1926.751,0.071,0,2.707,0.369,0.292,252.099,1.722,1.313
26,DSC_1064_plate3.JPG,3,148,103.628,94.024,0.21,0,8.022,0.125,0.658,255,0,0
27,DSC_1064_plate3.JPG,3,560,78.196,95.64,0.769,0,1.396,0.716,0.896,255,0,0
28,DSC_1064_plate3.JPG,3,5401,51.265,428.6,0.369,0,1.813,0.552,0.738,254.41,0.574,0.441
29,DSC_1064_plate3.JPG,3,633,67.872,109.054,0.669,0,1.64,0.61,0.899,255,0,0
30,DSC_1064_plate3.JPG,3,2302,68.258,249.563,0.464,0,1.394,0.717,0.864,254.922,0.036,0.026
31,DSC_1064_plate3.JPG,3,1426,65.204,156.024,0.736,0,1.301,0.768,0.919,255,0,0
32,DSC_1064_plate3.JPG,3,2707,61.091,342.475,0.29,0,1.363,0.734,0.753,255,0,0
33,DSC_1064_plate3.JPG,3,2967,75.74,275.019,0.493,0,1.435,0.697,0.777,255,0,0
34,DSC_1064_plate3.JPG,3,462,60.039,86.669,0.773,0,1.495,0.669,0.902,255,0,0
35,DSC_1064_plate3.JPG,3,104,50.567,72.912,0.246,0,1.56,0.641,0.619,250.856,0.952,1.125
36,DSC_1064_plate3.JPG,3,139,83.381,141.556,0.087,0,28.514,0.035,0.783,255,0,0
37,DSC_1064_plate3.JPG,3,115,74.783,54.527,0.486,0,1.557,0.642,0.742,255,0,0
38,DSC_1064_plate3.JPG,3,299,92.217,273.012,0.05,0,48.074,0.021,0.708,255,0,0
39,DSC_1064_plate3.JPG,3,224,75.196,101.983,0.271,0,2.374,0.421,0.688,255,0,0
40,DSC_1064_plate3.JPG,3,219,86.744,210.912,0.062,0,33.734,0.03,0.513,255,0,0
41,DSC_1064_plate3.JPG,3,135,77.363,144.527,0.081,0,26.785,0.037,0.667,255,0,0
42,DSC_1064_plate3.JPG,3,375,77.923,393.497,0.03,0,63.343,0.016,0.595,255,0,0
1,DSC_1063_plate4.JPG,4,1845,83.946,216.593,0.494,0,2.136,0.468,0.807,255,0,0
2,DSC_1063_plate4.JPG,4,1295,89.914,144.024,0.785,0,1.218,0.821,0.931,255,0,0
3,DSC_1063_plate4.JPG,4,1281,90.315,156.752,0.655,0,1.26,0.794,0.898,255,0,0
4,DSC_1063_plate4.JPG,4,1349,74.208,146.267,0.792,0,1.206,0.829,0.933,255,0,0
5,DSC_1063_plate4.JPG,4,690,91.914,131.681,0.5,0,1.979,0.505,0.818,253.11,1.419,1.22
6,DSC_1063_plate4.JPG,4,111,107.135,59.255,0.397,0,1.244,0.804,0.74,255,0,0
7,DSC_1063_plate4.JPG,4,2143,94.787,236.007,0.483,0,1.839,0.544,0.85,255,0,0
8,DSC_1063_plate4.JPG,4,1218,87.163,158.853,0.607,0,1.144,0.874,0.854,255,0,0
9,DSC_1063_plate4.JPG,4,841,94.743,127.196,0.653,0,1.502,0.666,0.911,254.834,0.144,0.113
10,DSC_1063_plate4.JPG,4,1587,88.576,211.279,0.447,0,2.271,0.44,0.789,247.273,7.314,3.637
11,DSC_1063_plate4.JPG,4,127,90.748,75.497,0.28,0,2.56,0.391,0.527,255,0,0
12,DSC_1063_plate4.JPG,4,195,91.236,54.284,0.832,0,1.07,0.934,0.899,255,0,0
13,DSC_1063_plate4.JPG,4,218,85.078,55.698,0.883,0,1.115,0.897,0.93,255,0,0
14,DSC_1063_plate4.JPG,4,2245,86.339,221.279,0.576,0,1.681,0.595,0.879,255,0,0
15,DSC_1063_plate4.JPG,4,1551,95.401,223.522,0.39,0,2.26,0.443,0.827,247.573,5.884,4.531
16,DSC_1063_plate4.JPG,4,1877,76.682,218.25,0.495,0,1.523,0.657,0.825,254.062,0.84,0.445
17,DSC_1063_plate4.JPG,4,290,98.624,62.527,0.932,0,1.077,0.928,0.951,255,0,0
18,DSC_1063_plate4.JPG,4,4063,73.805,317.605,0.506,0,1.496,0.669,0.81,252.603,2.349,1.598
