roi,image,plate,area,meangray,perim,circ,areafraction,AR,round,solidity,red,green,blue
19,DSC_1063_plate4.JPG,4,825,90.712,121.64,0.701,0,1.652,0.605,0.93,255,0,0
20,DSC_1063_plate4.JPG,4,524,92.605,114.811,0.5,0,1.896,0.527,0.792,255,0,0
21,DSC_1063_plate4.JPG,4,154,105.416,49.941,0.776,0,1.552,0.644,0.885,255,0,0
22,DSC_1063_plate4.JPG,4,430,99.442,91.154,0.65,0,1.257,0.796,0.857,254.621,0.253,0.216
23,DSC_1063_plate4.JPG,4,4021,70.748,272.191,0.682,0,1.141,0.877,0.905,254.894,0.09,0.07
24,DSC_1063_plate4.JPG,4,260,102.235,100.711,0.322,0,5.525,0.181,0.689,255,0,0
25,DSC_1063_plate4.JPG,4,302,75.407,386.326,0.025,0,78.162,0.013,0.52,255,0,0
26,DSC_1063_plate4.JPG,4,158,81.171,195.698,0.052,0,40.548,0.025,0.593,255,0,0
27,DSC_1063_plate4.JPG,4,112,87.741,152.728,0.06,0,37.563,0.027,0.669,255,0,0
1,DSC_1062_plate5.JPG,5,1584,86.028,207.765,0.461,0,1.551,0.645,0.867,253.261,1.183,1.011
2,DSC_1062_plate5.JPG,5,1425,77.54,166.752,0.644,0,1.464,0.683,0.873,255,0,0
3,DSC_1062_plate5.JPG,5,2369,81.312,239.907,0.517,0,1.452,0.689,0.883,254.554,0.408,0.274
4,DSC_1062_plate5.JPG,5,3398,81.833,259.463,0.634,0,1.422,0.703,0.918,254.113,0.793,0.564
5,DSC_1062_plate5.JPG,5,418,93.825,109.397,0.439,0,2.237,0.447,0.773,255,0,0
6,DSC_1062_plate5.JPG,5,1713,85.364,207.622,0.499,0,1.874,0.534,0.818,255,0,0
7,DSC_1062_plate5.JPG,5,3763,75.404,344.475,0.398,0,2.158,0.463,0.826,254.086,0.824,0.418
8,DSC_1062_plate5.JPG,5,918,76.958,123.782,0.753,0,1.571,0.636,0.93,255,0,0
9,DSC_1062_plate5.JPG,5,1647,79.544,193.48,0.553,0,1.329,0.753,0.866,253.407,1.421,0.525
10,DSC_1062_plate5.JPG,5,3038,80.981,311.99,0.392,0,1.837,0.544,0.765,254.11,0.809,0.419
11,DSC_1062_plate5.JPG,5,443,90.81,147.095,0.257,0,1.486,0.673,0.687,255,0,0
12,DSC_1062_plate5.JPG,5,1910,77.419,215.321,0.518,0,1.638,0.61,0.84,254.068,0.832,0.317
13,DSC_1062_plate5.JPG,5,1296,89.431,163.338,0.61,0,1.602,0.624,0.872,253.317,1.418,0.89
14,DSC_1062_plate5.JPG,5,225,96.484,81.74,0.423,0,2.302,0.434,0.761,253.778,1.08,0.587
15,DSC_1062_plate5.JPG,5,122,98.32,45.456,0.742,0,1.686,0.593,0.853,255,0,0
16,DSC_1062_plate5.JPG,5,1842,86.667,258.635,0.346,0,2.105,0.475,0.82,250.155,4.311,2.225
17,DSC_1062_plate5.JPG,5,318,94.925,87.397,0.523,0,1.966,0.509,0.767,255,0,0
18,DSC_1062_plate5.JPG,5,248,100.202,74.912,0.555,0,1.263,0.792,0.8,255,0,0
19,DSC_1062_plate5.JPG,5,1072,73.413,143.196,0.657,0,1.339,0.747,0.882,255,0,0
20,DSC_1062_plate5.JPG,5,236,94.169,67.012,0.66,0,1.02,0.98,0.86,255,0,0
21,DSC_1062_plate5.JPG,5,4291,70.153,346.96,0.448,0,2.355,0.425,0.81,254.937,0.056,0.031
22,DSC_1062_plate5.JPG,5,2360,72.592,237.522,0.526,0,1.353,0.739,0.871,255,0,0
23,DSC_1062_plate5.JPG,5,838,82.764,124.024,0.685,0,1.531,0.653,0.884,255,0,0
24,DSC_1062_plate5.JPG,5,144,104.646,97.882,0.189,0,1.384,0.722,0.449,255,0,0
25,DSC_1062_plate5.JPG,5,105,87.295,132.811,0.075,0,7.082,0.141,0.26,255,0,0
26,DSC_1062_plate5.JPG,5,1555,88.197,196.309,0.507,0,1.361,0.735,0.865,255,0,0
27,DSC_1062_plate5.JPG,5,275,73.789,289.865,0.041,0,9.856,0.101,0.202,255,0,0
28,DSC_1062_plate5.JPG,5,179,102.994,129.782,0.134,0,7.576,0.132,0.528,255,0,0
1,DSC_1061_plate6.JPG,6,472,90.928,85.012,0.821,0,1.162,0.86,0.93,255,0,0
2,DSC_1061_plate6.JPG,6,166,88.771,52.284,0.763,0,1.301,0.768,0.883,255,0,0
3,DSC_1061_plate6.JPG,6,554,80.516,104.811,0.634,0,1.386,0.721,0.884,255,0,0
4,DSC_1061_plate6.JPG,6,3300,72.34,240.35,0.718,0,1.698,0.589,0.912,255,0,0
5,DSC_1061_plate6.JPG,6,217,97.272,54.527,0.917,0,1.078,0.928,0.927,255,0,0
6,DSC_1061_plate6.JPG,6,2687,71.019,233.966,0.617,0,1.687,0.593,0.871,254.809,0.179,0.152
7,DSC_1061_plate6.JPG,6,459,102.166,93.983,0.653,0,1.713,0.584,0.854,255,0,0
8,DSC_1061_plate6.JPG,6,303,109.185,76.426,0.652,0,1.84,0.544,0.877,255,0,0
9,DSC_1061_plate6.JPG,6,3910,80.509,317.647,0.487,0,1.507,0.664,0.772,254.72,0.373,0.302
10,DSC_1061_plate6.JPG,6,141,101.582,51.698,0.663,0,2.636,0.379,0.855,253.894,0.766,0.617
11,DSC_1061_plate6.JPG,6,109,99.725,38.284,0.935,0,1.079,0.927,0.89,255,0,0
12,DSC_1061_plate6.JPG,6,364,113.091,87.154,0.602,0,1.443,0.693,0.818,255,0,0
13,DSC_1061_plate6.JPG,6,1695,88.888,179.439,0.662,0,1.212,0.825,0.917,255,0,0
14,DSC_1061_plate6.JPG,6,2739,91.318,254.007,0.533,0,1.797,0.557,0.829,255,0,0
15,DSC_1061_plate6.JPG,6,1038,100.774,164.995,0.479,0,2.292,0.436,0.83,254.85,0.104,0.084
16,DSC_1061_plate6.JPG,6,2256,92.62,276.049,0.372,0,1.637,0.611,0.835,254.455,0.134,0.111
17,DSC_1061_plate6.JPG,6,2885,76.562,278.492,0.467,0,1.793,0.558,0.769,254.965,0.053,0.04
18,DSC_1061_plate6.JPG,6,2988,86.817,242.007,0.641,0,1.775,0.563,0.902,255,0,0
19,DSC_1061_plate6.JPG,6,126,105.524,45.698,0.758,0,1.529,0.654,0.854,255,0,0
20,DSC_1061_plate6.JPG,6,2308,81.779,278.108,0.375,0,1.348,0.742,0.743,255,0,0
21,DSC_1061_plate6.JPG,6,3244,96.47,272.492,0.549,0,1.525,0.656,0.848,252.919,3.025,0.772
22,DSC_1061_plate6.JPG,6,2094,80.764,189.723,0.731,0,1.501,0.666,0.932,255,0,0
23,DSC_1061_plate6.JPG,6,120,89.608,121.095,0.103,0,12.972,0.077,0.423,255,0,0
24,DSC_1061_plate6.JPG,6,112,100.652,148.184,0.064,0,12.55,0.08,0.347,255,0,0
25,DSC_1061_plate6.JPG,6,255,105.635,283.698,0.04,0,55.086,0.018,0.536,255,0,0
1,DSC_1060_plate7.JPG,7,5771,64.289,351.848,0.586,0,2.014,0.497,0.876,255,0,0
2,DSC_1060_plate7.JPG,7,3733,69.889,280.836,0.595,0,1.803,0.555,0.875,254.687,0.293,0.188
3,DSC_1060_plate7.JPG,7,2500,70.804,273.563,0.42,0,1.52,0.658,0.802,254.893,0.092,0.081
4,DSC_1060_plate7.JPG,7,300,96.03,73.255,0.703,0,1.818,0.55,0.884,255,0,0
5,DSC_1060_plate7.JPG,7,150,105.32,70.669,0.377,0,1.573,0.636,0.713,255,0,0
6,DSC_1060_plate7.JPG,7,1898,79.479,207.279,0.555,0,1.504,0.665,0.885,252.867,2.014,1.132
7,DSC_1060_plate7.JPG,7,1868,72.871,187.238,0.67,0,1.18,0.848,0.894,255,0,0
8,DSC_1060_plate7.JPG,7,2070,82.207,232.492,0.481,0,1.499,0.667,0.859,253.878,0.993,0.535
9,DSC_1060_plate7.JPG,7,1960,87.091,192.551,0.664,0,1.579,0.633,0.903,254.86,0.124,0.073
10,DSC_1060_plate7.JPG,7,2448,72.948,239.421,0.537,0,1.584,0.631,0.883,252.91,1.989,0.939
11,DSC_1060_plate7.JPG,7,162,97.889,71.598,0.397,0,1.316,0.76,0.73,253.346,1.444,1.111
12,DSC_1060_plate7.JPG,7,671,93.025,110.468,0.691,0,1.199,0.834,0.886,254.565,0.319,0.274
13,DSC_1060_plate7.JPG,7,303,74.396,70.77,0.76,0,1.756,0.57,0.904,255,0,0
14,DSC_1060_plate7.JPG,7,2362,78.889,231.421,0.554,0,1.766,0.566,0.843,254.83,0.153,0.107
15,DSC_1060_plate7.JPG,7,2362,80.517,223.38,0.595,0,1.451,0.689,0.871,253.758,1.232,0.883
16,DSC_1060_plate7.JPG,7,2768,70.736,312.09,0.357,0,2.076,0.482,0.847,255,0,0
17,DSC_1060_plate7.JPG,7,3647,86.197,333.161,0.413,0,1.45,0.69,0.819,251.327,3.401,2.645
18,DSC_1060_plate7.JPG,7,1672,66.086,172.409,0.707,0,1.53,0.653,0.905,254.92,0.071,0.029
19,DSC_1060_plate7.JPG,7,1452,68.207,158.024,0.731,0,1.739,0.575,0.933,255,0,0
20,DSC_1060_plate7.JPG,7,2374,90.349,296.676,0.339,0,1.736,0.576,0.705,254.887,0.101,0.073
21,DSC_1060_plate7.JPG,7,123,66.626,103.497,0.144,0,14.38,0.07,0.589,255,0,0
22,DSC_1060_plate7.JPG,7,108,96.722,46.87,0.618,0,1.487,0.672,0.785,255,0,0
1,DSC_1059_plate8.JPG,8,119,103.538,107.841,0.129,0,11.721,0.085,0.543,246.538,5.202,5.84
2,DSC_1059_plate8.JPG,8,4483,81.156,358.86,0.437,0,2.059,0.486,0.855,254.97,0.027,0.017
3,DSC_1059_plate8.JPG,8,3580,63.575,289.12,0.538,0,2.052,0.487,0.847,255,0,0
4,DSC_1059_plate8.JPG,8,1544,68.234,212.451,0.43,0,1.014,0.986,0.818,253.678,0.984,0.849
5,DSC_1059_plate8.JPG,8,3815,71.098,313.706,0.487,0,1.58,0.633,0.834,254.744,0.223,0.044
6,DSC_1059_plate8.JPG,8,236,98.992,66.77,0.665,0,1.475,0.678,0.841,255,0,0
7,DSC_1059_plate8.JPG,8,1552,78.421,163.095,0.733,0,1.274,0.785,0.927,255,0,0
8,DSC_1059_plate8.JPG,8,133,107.165,89.397,0.209,0,1.585,0.631,0.609,255,0,0
9,DSC_1059_plate8.JPG,8,1392,65.293,159.238,0.69,0,1.833,0.545,0.882,255,0,0
10,DSC_1059_plate8.JPG,8,1470,84.957,210.309,0.418,0,1.417,0.706,0.72,253.566,1.235,0.888
11,DSC_1059_plate8.JPG,8,1675,69.762,240.108,0.365,0,1.645,0.608,0.714,255,0,0
12,DSC_1059_plate8.JPG,8,3907,81.843,332.132,0.445,0,1.795,0.557,0.872,254.673,0.282,0.202
13,DSC_1059_plate8.JPG,8,133,98.865,56.77,0.519,0,1.409,0.71,0.756,255,0,0
14,DSC_1059_plate8.JPG,8,951,76.506,153.581,0.507,0,1.467,0.682,0.831,251.901,3.019,1.828
15,DSC_1059_plate8.JPG,8,177,96.288,57.012,0.684,0,1.256,0.796,0.839,255,0,0
16,DSC_1059_plate8.JPG,8,2144,69.025,221.421,0.55,0,1.318,0.759,0.911,254.489,0.458,0.195
17,DSC_1059_plate8.JPG,8,2480,83.283,296.919,0.353,0,1.454,0.688,0.829,250.035,4.531,3.624
18,DSC_1059_plate8.JPG,8,4100,72.612,317.161,0.512,0,1.871,0.534,0.867,254.803,0.187,0.137
19,DSC_1059_plate8.JPG,8,1466,75.829,170.752,0.632,0,1.372,0.729,0.861,255,0,0
20,DSC_1059_plate8.JPG,8,411,96.477,122.51,0.344,0,1.329,0.753,0.659,253.058,1.701,1.426
21,DSC_1059_plate8.JPG,8,509,81.2,124.953,0.41,0,1.413,0.708,0.799,254.214,0.674,0.33
22,DSC_1059_plate8.JPG,8,2012,85.934,244.007,0.425,0,1.783,0.561,0.835,253.249,1.455,0.902
23,DSC_1059_plate8.JPG,8,2842,76.02,242.836,0.606,0,1.605,0.623,0.91,255,0,0
24,DSC_1059_plate8.JPG,8,2997,74.101,271.019,0.513,0,1.296,0.771,0.882,254.734,0.237,0.173
25,DSC_1059_plate8.JPG,8,993,93.104,191.137,0.342,0,2.516,0.397,0.768,253.286,1.472,0.79
26,DSC_1059_plate8.JPG,8,1155,93.189,232.735,0.268,0,2.303,0.434,0.789,252.055,2.524,1.461
27,DSC_1059_plate8.JPG,8,330,79.364,73.598,0.766,0,1.569,0.637,0.892,255,0,0
28,DSC_1059_plate8.JPG,8,306,38.722,186.468,0.111,0,13.922,0.072,0.603,255,0,0
29,DSC_1059_plate8.JPG,8,105,57.267,88.042,0.17,0,10.674,0.094,0.698,255,0,0
