plate,row,col,OD600.1,OD600.2,OD750.1,OD750.2,Blank1od600,blank2od600,blank1od750,blank2od750,od600mean.blanked,od750mean.blanked,od600.fancyblankmean,od750.fancyblankmean,Note: blank is 2xK at 70ul for col 1-10 and 50ul for col 11 and 12,"plate 18 so cols 7 and 8, row C tiny amount cross contam bt these 2",regular blanked is just average of two wells where each has blank subtracted and fancy blank sets wells to zero if they are less than their corresponding blank value
14,B,3,0.042,0.043,0.041,0.042,0.039,0.039,0.038,0.04,0.0035,0.0025,0.0035,0.0025,,,
14,B,4,0.044,0.045,0.042,0.042,0.038,0.039,0.038,0.038,0.006,0.004,0.006,0.004,,,
14,B,5,0.039,0.039,0.039,0.039,0.038,0.039,0.037,0.038,0.0005,0.0015,0.0005,0.0015,,,
14,B,6,0.06,0.053,0.073,0.043,0.043,0.043,0.044,0.044,0.0135,0.014,0.0135,0.0145,,,
14,C,1,0.047,0.045,0.044,0.043,0.038,0.039,0.038,0.038,0.0075,0.0055,0.0075,0.0055,,,
14,C,2,0.039,0.04,0.039,0.04,0.039,0.039,0.04,0.039,0.0005,0,0.0005,0.0005,,,
14,C,3,0.043,0.043,0.044,0.041,0.038,0.038,0.041,0.038,0.005,0.003,0.005,0.003,,,
14,C,4,0.039,0.04,0.04,0.039,0.038,0.038,0.039,0.038,0.0015,0.001,0.0015,0.001,,,
14,C,5,0.044,0.048,0.042,0.047,0.038,0.039,0.038,0.04,0.0075,0.0055,0.0075,0.0055,,,
14,C,6,0.059,0.056,0.054,0.056,0.047,0.047,0.048,0.049,0.0105,0.0065,0.0105,0.0065,,,
14,D,1,0.041,0.041,0.041,0.043,0.038,0.042,0.038,0.042,0.001,0.002,0.0015,0.002,,,
14,D,2,0.039,0.042,0.039,0.041,0.039,0.042,0.04,0.042,0,-0.001,0,0,,,
14,D,3,0.04,0.042,0.041,0.04,0.038,0.042,0.04,0.041,0.001,0,0.001,0.0005,,,
14,D,4,0.054,0.053,0.049,0.047,0.039,0.042,0.038,0.041,0.013,0.0085,0.013,0.0085,,,
14,D,5,0.047,0.045,0.047,0.043,0.038,0.039,0.037,0.039,0.0075,0.007,0.0075,0.007,,,
14,D,6,0.043,0.047,0.041,0.044,0.05,0.041,0.053,0.04,-0.0005,-0.004,0.003,0.002,,,
15,A,1,0.041,0.04,0.04,0.039,0.039,0.038,0.038,0.037,0.002,0.002,0.002,0.002,,,
15,A,2,0.045,0.044,0.043,0.042,0.041,0.038,0.042,0.038,0.005,0.0025,0.005,0.0025,,,
15,A,3,0.049,0.054,0.046,0.052,0.04,0.038,0.041,0.04,0.0125,0.0085,0.0125,0.0085,,,
