"pixstart","pix20","pix23","pixend","alivestart","alive20","alive23","aliveend","deadstart","dead20","dead23","deadend","dpixse","dpixs20","dpix2023","dpixs23","dpix23e","dpixse.1","bzt","nacl","inoc","plnt.micr","plate","lbzt","lnacl","lOD600","lOD750","flOD600","Lcellfb6","cellfb6","red","green","blue","aggrE","daggrE","x","y"
306,1380.6814159292,2324.2389380531,3041,1,1,1,1,0,0,0,0,2735,1074.6814159292,943.557522123894,2018.2389380531,716.761061946903,2735,1,0,"n","KSR",1,0.00995033085316809,-2.52572864430826,-4.60517018598809,-4.65646348037564,-4.55638002181866,5.14589816357272,86.2308071608066,0.449495284164955,0.505234908223444,0.0452698076116007,12.1186278573023,9.40128481494368,127,-85
1723,806.513274336283,566.29203539823,3031,1,1,1,1,0,0,0,0,1308,-916.486725663717,-240.221238938053,-1156.70796460177,2464.70796460177,1308,10,0.8,"y","KSR",2,2.30358459332713,-0.127833371509885,-3.77226106305299,-3.98998454689786,-3.77226106305299,7.56147483486539,1837.18421147223,0.464941285479972,0.482023231745818,0.0530354827742097,9.76692778402555,3.29167504998819,21.1666666666667,-106.65
3324,3491.47787610619,3581.26548672566,4501,1,1,1,1,0,0,0,0,1177,167.477876106195,89.787610619469,257.265486725664,919.734513274336,1177,0.1,0,"n","BruceH",2,-2.20727491318972,-2.52572864430826,-4.30506559353775,-4.42284862919414,-4.30506559353775,6.30767196863685,463.271070319821,0.479823468547417,0.482723427018885,0.0374531044336986,9.37011431081467,0.470206148013819,42.3333333333333,-106.65
2132,608.823008849557,0,569,1,1,0,1,0,0,1,0,-1563,-1523.17699115044,-608.823008849557,-2132,569,-1563,10,10,"y","MoccTr",2,2.30358459332713,2.31055326264322,-3.66907682681776,-3.91202300542815,-3.66907682681776,7.7670037196521,2275.89045948464,0.462372618788275,0.422960085203205,0.11466729600852,5.12363354764349,-0.70193281927429,63.5,-106.65
2249,1828.04424778761,2498.30088495575,2033,1,1,1,1,0,0,0,0,-216,-420.955752212389,670.256637168142,249.300884955752,-465.300884955752,-216,0.1,10,"n","BruceH",2,-2.20727491318972,2.31055326264322,-4.07454193492592,-4.23360662955561,-4.07454193492592,6.91413624388924,920.906520643025,0.451256632799967,0.411507822247816,0.137235544952216,7.25576481757087,0.489311263603215,84.6666666666667,-106.65
1335,2488.84955752212,3137.05309734513,3951,1,1,1,1,0,0,0,0,2616,1153.84955752212,648.203539823009,1802.05309734513,813.946902654867,2616,0,0.8,"n","BruceH",2,-4.60517018598809,-0.127833371509885,-4.42284862919414,-4.38202663467388,-4.42284862919414,5.89541705204396,277.873501822894,0.474297022412444,0.494193627563778,0.0315093500237777,10.5964705251301,3.18425119006445,105.833333333333,-106.65
2461,2210.82300884956,3035.45132743363,6207,1,1,1,1,0,0,0,0,3746,-250.176991150443,824.628318584071,574.451327433628,3171.54867256637,3746,1,0,"y","BruceH",2,0.00995033085316809,-2.52572864430826,-4.3428059215206,-4.42284862919414,-4.3428059215206,6.18755465972796,401.15976788838,0.452448307651785,0.508494666139866,0.0390570262083498,11.137887659321,1.07043037749352,127,-106.65
1945,376.477876106195,186.663716814159,223,1,1,1,1,0,0,0,0,-1722,-1568.52212389381,-189.814159292035,-1758.33628318584,36.3362831858407,-1722,1,10,"n","MoccTr",2,0.00995033085316809,2.31055326264322,-4.50986000618377,-4.50986000618377,-4.50986000618377,5.47331402197794,152.75360049071,0.466144811865091,0.423549408507711,0.110305779627198,3.72032498623647,-2.86836144310199,21.1666666666667,-127.9
1116,1187.71681415929,611.185840707965,1332,1,1,1,1,0,0,0,0,216,71.716814159292,-576.530973451327,-504.814159292035,720.814159292035,216,0.1,10,"n","KSR",2,-2.20727491318972,2.31055326264322,-3.91202300542815,-3.98998454689786,-3.91202300542815,7.27343606473119,1356.0001774582,0.489715404204595,0.445143178370178,0.0651414174252276,6.56038062028103,1.63305426879842,42.3333333333333,-127.9
167,410.345132743363,0,416,1,1,0,1,0,0,1,0,249,243.345132743363,-410.345132743363,-167,416,249,10,10,"n","BruceH",2,2.30358459332713,2.31055326264322,-3.79423996977176,-3.98998454689786,-3.79423996977176,7.51704237098461,1753.62496210405,0.488347042694869,0.441878835357096,0.069774121948035,5.21035558171867,3.36439900038604,63.5,-127.9
1380,268.575221238938,121.29203539823,1105,1,1,1,1,0,0,0,0,-275,-1111.42477876106,-147.283185840708,-1258.70796460177,983.70796460177,-275,0.1,10,"y","KSR",2,-2.20727491318972,2.31055326264322,-3.83970234384852,-3.9633162998157,-3.83970234384852,7.42421315329576,1590.58538982598,0.466638516815626,0.439974352357941,0.0933871308264327,7.58506600037067,1.89180879716265,84.6666666666667,-127.9
1084,0,0,1091,1,0,0,1,0,1,1,0,7,-1084,0,-1084,1091,7,0.1,10,"y","MoccTr",2,-2.20727491318972,2.31055326264322,-3.66907682681776,-3.9633162998157,-3.66907682681776,7.7670037196521,2275.89045948464,0.431212544364927,0.402365644576327,0.166421811058746,3.39917746759721,-2.07930533633477,105.833333333333,-127.9
